field_1,ID2,lat,long,el,Aspect,Profilecurv,Tangentialc,Slope,PNWSRTMDEM
"238","70271934",48.4940500650,-121.5473778400,".",252.4114074700,-0.0000921808,0.0036394240,8.9918584824,114.0000000000
"239","70272155",48.4938875400,-121.5470406300,".",274.2817688000,0.0008697337,0.0030561443,12.0597047810,106.0000000000
"240","70284424",45.8516911740,-122.7428368000,".",166.5043029800,-0.0007081981,-0.0004224129,5.2556123734,56.0000000000
"241","70287353",48.4594861110,-123.3334388900,".",248.7172088600,0.0001270985,0.0004578332,1.0392003059,38.0000000000
"242","70287841",49.1624666670,-124.0346611700,".",63.0686073300,-0.0012033955,0.0009117855,20.5156135560,318.0000000000
"243","70346309",48.5862865810,-123.4267072300,".",37.7371635440,0.0009071353,0.0024850320,5.4090113640,68.0000000000
"244","70346863",48.5852277370,-123.4269705000,".",145.2697601300,-0.0022572128,0.0018021762,7.2339324951,75.0000000000
"245","70347039",48.5850626560,-123.4262385100,".",121.0332260100,0.0034868165,0.0023605635,5.3654322624,84.0000000000
"246","70347299",48.5847627510,-123.4259845400,".",237.2296142600,0.0025578949,0.0030243588,3.0498726368,85.0000000000
"247","70347495",48.5847854660,-123.4260540300,".",237.2296142600,0.0025578949,0.0030243588,3.0498726368,85.0000000000
"248","70347646",48.5824340000,-123.4268370000,".",299.6217651400,0.0019620694,-0.0000930364,6.5655937195,66.0000000000
"249","70378160",47.8666750000,-121.6713950000,".",229.7742004400,-0.0038032231,-0.0006777677,4.2325162888,122.0000000000
"250","70378415",47.8735783330,-121.6516200000,".",226.9631347700,-0.0016670962,-0.0044250237,20.1066894530,335.0000000000
"251","70380081",45.4903102780,-122.7481347200,".",211.4807434100,0.0007910908,-0.0005678394,7.3211326599,83.0000000000
"252","70453730",47.6414425400,-117.4659364000,".",,,,,
"253","70475459",47.2888498000,-122.2763910100,".",122.3710861200,-0.0000587262,-0.0006720992,2.8084816933,140.0000000000
"254","70478984",49.3264007570,-122.9494476300,".",44.4263000490,0.0011442667,0.0008521481,2.4697234631,17.0000000000
"255","70523478",47.4661026940,-122.1446225800,".",122.4417648300,0.0000416136,0.0008726831,1.4047665596,29.0000000000
"256","70528957",45.8532296730,-122.7426804800,".",155.6701355000,0.0000110792,0.0003928595,4.3333082199,56.0000000000
"257","70569043",45.8622805450,-122.7444118200,".",153.1649627700,-0.0006927968,-0.0016907929,3.6187312603,59.0000000000
"258","70573673",45.8610502090,-122.7463806900,".",210.3558349600,0.0021632586,0.0013674228,8.5976152420,55.0000000000
"259","70594617",46.9788383330,-122.3696216700,".",158.6143951400,-0.0053663873,0.0009625658,5.2946400642,159.0000000000
"260","70594726",46.9773050000,-122.3704083300,".",37.1790275570,0.0002680727,-0.0000530180,3.3834049702,163.0000000000
"261","70594778",46.9773216670,-122.3704533300,".",52.2986869810,0.0001834754,0.0005144766,2.8911790848,164.0000000000
"262","70594904",46.9776533330,-122.3702550000,".",240.1235656700,0.0000067895,0.0002209122,2.7206339836,162.0000000000
"263","70595016",46.9144050000,-122.2751216700,".",84.9507675170,0.0029189677,0.0011445482,5.2335624695,249.0000000000
"264","70642957",49.3077201840,-123.0621871900,".",226.2031402600,0.0020411483,-0.0001746610,5.3730511665,42.0000000000
"265","70691696",49.3097037560,-123.0392146100,".",246.8230743400,-0.0003479400,0.0003175439,2.6857490540,14.0000000000
"266","70820202",45.8489773320,-122.7544119600,".",58.7628974910,-0.0003709068,0.0007355759,4.5156497955,26.0000000000
"267","70832153",48.4939340000,-123.3704023900,".",104.3362274200,0.0002665224,-0.0001581967,1.8940532207,54.0000000000
"268","70855690",47.6802080000,-122.2565950000,".",265.6464233400,-0.0000199554,-0.0002436000,1.5453239679,8.0000000000
"269","70856332",47.6802080000,-122.2565950000,".",265.6464233400,-0.0000199554,-0.0002436000,1.5453239679,8.0000000000
"270","70858087",47.6708200000,-122.3072450000,".",292.9209594700,-0.0013901884,0.0001425415,4.9618949890,62.0000000000
"271","71137792",49.0173482000,-122.6633489000,".",257.6754760700,-0.0006876701,-0.0016720118,2.5856735706,86.0000000000
"272","71158602",49.3108290440,-123.0735740400,".",235.6029968300,-0.0013089657,-0.0019156926,5.2243771553,29.0000000000
"273","71162633",47.0315861670,-122.8867833300,".",82.8358993530,-0.0026707230,-0.0017076877,7.8488783836,34.0000000000
"274","71167547",46.9485358340,-122.8650806600,".",153.0147247300,0.0005870431,-0.0004482878,3.8391466141,94.0000000000
"275","71169344",46.9478133330,-122.8671633300,".",194.1831207300,0.0009891971,-0.0001761329,2.8728795052,88.0000000000
"276","71178383",49.5010216670,-123.8297800000,".",218.5442199700,-0.0006597142,-0.0002211495,2.9315822124,284.0000000000
"277","71182969",49.5017583330,-123.8303750000,".",277.1701049800,-0.0009941059,-0.0018828086,3.2214818001,285.0000000000
"278","71183091",49.5021466670,-123.8318633300,".",243.5031127900,-0.0005681507,-0.0027757285,9.4677324295,284.0000000000
"279","71185996",48.4927015500,-123.3687003300,".",250.2134704600,0.0027706805,0.0035768696,5.7536129951,57.0000000000
"280","71262651",46.7302283330,-116.9976583300,".",,,,,
"281","71265935",49.3939883330,-123.5014883300,".",223.2637329100,-0.0048701428,-0.0011092781,7.7756447792,19.0000000000
"282","71266241",49.3937033330,-123.5025333300,".",259.6966247600,-0.0050551589,0.0006652872,8.7596282959,23.0000000000
"283","71271392",47.7692916670,-122.2832633300,".",204.4372406000,0.0038629703,0.0022666387,15.9666271210,137.0000000000
"284","71345061",47.2701116670,-121.9392866700,".",156.7933349600,0.0012046844,-0.0011360002,3.8647668362,251.0000000000
"285","71346055",49.4295216670,-123.6400833300,".",161.8762359600,0.0015877706,-0.0008781877,6.6917424202,119.0000000000
"286","71346187",49.4297716670,-123.6401666700,".",152.4028015100,-0.0019957337,-0.0025899559,7.1156167984,114.0000000000
"287","71347153",47.3164133330,-121.9079666700,".",140.5158081100,-0.0036727304,-0.0016478441,15.3394460680,242.0000000000
"288","71363926",49.4272033330,-123.6394800000,".",271.4044494600,0.0004731212,0.0002366938,7.9646129608,94.0000000000
"289","71383170",47.2102420000,-122.4698240000,".",78.5025939940,0.0004411259,0.0003535469,1.3497258425,92.0000000000
"290","71383174",47.2106760000,-122.4705360000,".",94.4947662350,0.0006098239,-0.0002161666,1.2863911390,92.0000000000
"291","71396943",49.1839742000,-121.7439143000,".",141.6398925800,-0.0009083934,-0.0001201398,6.1889395714,96.0000000000
"292","71501927",47.3178416670,-122.5401616700,".",37.1639404300,0.0081728306,0.0017794688,17.2590065000,63.0000000000
"293","71508181",49.2836154000,-122.9375808000,".",146.6284942600,-0.0023871590,-0.0005899305,5.6561264992,270.0000000000
"294","71552775",47.9566761060,-122.8009181100,".",208.9703674300,-0.0008343285,-0.0011974401,2.8407795429,92.0000000000
"296","71565664",47.6207670000,-122.2946410000,".",279.8531799300,0.0004055657,0.0005156682,2.4472010136,37.0000000000
"297","71612477",49.1764216670,-123.9665833300,".",111.1617279100,-0.0001218334,-0.0000199966,2.2513861656,65.0000000000
"298","71666134",49.2910452000,-123.0413694000,".",117.3733978300,0.0020012392,0.0035038791,4.6411671638,12.0000000000
"299","71715930",47.2045966670,-122.3959883300,".",273.0439147900,-0.0046982723,-0.0018123959,9.3035688400,115.0000000000
"300","71720072",45.4572530000,-122.6749740000,".",75.0981140140,0.0017691547,-0.0017117147,4.5195336342,146.0000000000
"301","71806396",47.2033500000,-122.3966450000,".",111.5582656900,-0.0016034138,0.0012259362,5.6409592628,123.0000000000
"302","71806938",47.0253250000,-122.9267050000,".",173.8623046900,-0.0022362296,-0.0019602573,4.3228716850,44.0000000000
"303","71825898",45.5487888890,-122.4908416700,".",57.5557556150,-0.0011933424,0.0001448940,3.2324709892,18.0000000000
"304","71829263",49.1963472000,-123.0079067000,".",172.7564697300,0.0027021519,0.0004566765,1.8455932140,7.0000000000
"305","71855239",47.0249361670,-122.9316716700,".",59.9515380860,-0.0010949317,-0.0012446109,2.2834954262,49.0000000000
"306","71964402",47.6690001410,-122.3064531300,".",23.8304824830,0.0009943504,0.0012196746,10.4115543370,59.0000000000
"307","71965329",47.6671937150,-122.3063763500,".",23.4117145540,0.0016313028,0.0006115885,8.8964290619,63.0000000000
"308","71965523",47.6659960670,-122.3064768500,".",287.9094238300,0.0003322365,0.0010882523,5.3574852943,66.0000000000
"309","71979089",45.3369080000,-122.6933300000,".",205.3427429200,0.0017867554,0.0007764286,5.2912254333,229.0000000000
"310","72022600",45.4476090000,-122.6896830000,".",301.6628112800,0.0031028891,0.0009806323,4.9651370049,82.0000000000
"311","72065430",45.3711388890,-122.6151611100,".",48.5950126650,0.0009293060,-0.0006796134,14.0504007340,40.0000000000
"312","72065774",46.7211133330,-116.9776700000,".",,,,,
"313","72066160",46.7338716670,-116.9890966700,".",,,,,
"314","72122740",48.5264266310,-123.3742944900,".",211.1109619100,-0.0017264242,0.0000694092,12.1734619140,51.0000000000
"315","72123614",48.5264286220,-123.3745040500,".",42.7391357420,-0.0001908327,0.0001676718,13.2993707660,56.0000000000
"316","72127519",48.5264106020,-123.3735360800,".",298.1323547400,-0.0021083024,0.0005826451,7.7704133987,44.0000000000
"317","72197393",49.3150213000,-123.0400279000,".",300.1088867200,-0.0008105349,-0.0007258274,6.2799649239,40.0000000000
"318","72216210",45.8351250000,-122.7500916700,".",172.5059356700,-0.0006833624,-0.0003075796,7.6257061958,13.0000000000
"319","72225862",49.5231083330,-123.7608500000,".",315.0975952100,-0.0002831504,-0.0017251711,6.7739329338,132.0000000000
"320","72231921",45.4605280000,-122.7382750000,".",104.5023117100,-0.0042863279,-0.0003793843,3.7793083191,100.0000000000
"321","72288005",45.5510289720,-122.6162419700,".",262.4247436500,-0.0009538519,0.0003574856,0.9755139351,78.0000000000
"322","72340913",45.2968220450,-121.7846876400,".",53.7534637450,0.0060327179,0.0032835361,15.2027130130,1255.0000000000
"323","72340914",45.2968220450,-121.7846876400,".",53.7534637450,0.0060327179,0.0032835361,15.2027130130,1255.0000000000
"324","72383195",48.0966333330,-123.4551916700,".",159.8126983600,0.0052415552,0.0005021833,13.3423852920,143.0000000000
"325","72415023",48.0416555000,-123.5904000000,".",176.3471679700,0.0040649585,0.0012786519,11.4132623670,92.0000000000
"326","72455259",48.4599070000,-122.3999510000,".",243.8501586900,-0.0006355284,0.0007034136,2.2508640289,6.0000000000
"327","72496632",40.8759729120,-124.0772653700,".",,,,,
"328","72544980",45.4732509280,-122.4243819000,".",109.9072265600,0.0025058261,0.0036261703,7.0093855858,279.0000000000
"329","72559419",48.7763774190,-123.3025827300,".",72.4257125850,0.0024696696,-0.0017138241,15.5541296010,78.0000000000
"330","72581876",48.0412361670,-123.5904083300,".",209.0946044900,0.0018687601,0.0014873339,8.4278173447,90.0000000000
"331","72586545",48.0974471670,-123.4549783300,".",194.4309387200,0.0031309344,0.0030972720,8.7587938309,146.0000000000
"332","72587008",48.1138888330,-123.4246216700,".",101.9865646400,-0.0010391686,0.0005221167,7.5185904503,36.0000000000
"333","72609584",46.9219655340,-122.9079936300,".",254.6455841100,-0.0040988969,-0.0031076050,12.4351997380,72.0000000000
"334","72652403",49.4968033330,-123.7826083300,".",76.9844741820,0.0025053653,0.0016063279,3.1366417408,128.0000000000
"335","72728549",45.4814840060,-122.4600563500,".",31.9396114350,-0.0044830563,-0.0011723513,8.6657857895,108.0000000000
"336","72729701",45.4785892840,-122.4576019500,".",122.0523147600,0.0008826459,-0.0004765666,3.6320259571,119.0000000000
"337","72860248",45.5956055560,-122.7867694400,".",38.0157966610,-0.0028090654,-0.0053265812,22.4725055690,81.0000000000
"338","72905217",45.5071388290,-122.6276432500,".",183.3337249800,-0.0019867537,-0.0015325826,1.9946007729,47.0000000000
"339","72963654",40.8800163420,-124.0725173800,".",,,,,
"340","72973074",47.6170000000,-122.3180616700,".",179.9359588600,-0.0020809402,-0.0009872311,4.6611528397,97.0000000000
"341","73016070",46.8722890140,-123.0240059100,".",164.2992553700,-0.0038409198,0.0008796768,20.0497169490,43.0000000000
"342","73044020",47.0030574400,-122.9985727900,".",193.6332702600,-0.0032717411,0.0023831718,12.4402246480,69.0000000000
"343","73044199",47.0024679200,-123.0006624100,".",114.5836639400,0.0009911549,-0.0003266564,2.2278385162,58.0000000000
"344","73044358",47.0024317700,-123.0011638300,".",199.9791107200,0.0006355692,0.0001380368,2.4289658070,58.0000000000
"345","73051714",45.4778379050,-122.4578558700,".",221.4838714600,0.0020078300,0.0007093129,1.9756623507,124.0000000000
"346","73075398",47.6571783330,-122.2870633300,".",149.0149688700,-0.0022584188,-0.0024268790,5.3408093452,8.0000000000
"347","73075666",47.6539116670,-122.3080833300,".",265.7044982900,-0.0012277197,-0.0019778688,5.6449398994,40.0000000000
"348","73076517",47.3749311000,-122.9590522600,".",168.9282531700,0.0002098953,-0.0004541126,2.6794688702,110.0000000000
"349","73140023",45.5401669300,-122.7231626300,".",31.7121982570,-0.0004273510,-0.0006641423,9.7744178772,84.0000000000
"350","73149192",49.3173190000,-123.0108386000,".",193.2820434600,-0.0075186910,-0.0002247909,22.4774513240,35.0000000000
"351","73166229",48.4855044560,-123.3288446600,".",161.0572052000,0.0008232336,-0.0004778467,1.9020711184,44.0000000000
"352","73166488",48.4855109480,-123.3286067200,".",158.4368896500,0.0000892874,-0.0006284671,1.2164599895,44.0000000000
"353","73167293",48.4857309220,-123.3285137700,".",151.8794097900,0.0007034751,0.0007819429,1.3139380217,45.0000000000
"354","73231509",48.9759680000,-123.0293660000,".",304.7625122100,0.0004300276,0.0002333732,2.1841368675,59.0000000000
"355","73412138",47.0304053180,-123.0928886000,".",83.6165466310,0.0002563684,-0.0002420337,3.2297782898,172.0000000000
"356","73420038",47.0708833330,-122.9763200000,".",191.5801086400,0.0005222447,-0.0015390081,4.1408405304,61.0000000000
"357","73427478",47.3174747410,-122.2985423500,".",246.7023773200,0.0010999800,-0.0004045960,2.9217214584,145.0000000000
"358","73458585",45.3377916670,-122.5918416700,".",136.7971038800,-0.0000828856,-0.0007346100,1.5131342411,138.0000000000
"359","73648037",45.5305315760,-122.7239389500,".",320.9505004900,0.0038326746,-0.0001829787,25.6857280730,206.0000000000
"360","73648884",45.5305480030,-122.7239470400,".",320.9505004900,0.0038326746,-0.0001829787,25.6857280730,206.0000000000
"361","73649028",45.5312833950,-122.7269503500,".",225.2019500700,-0.0022911367,-0.0027101068,13.4898414610,230.0000000000
"362","73651917",45.5323106880,-122.7289356700,".",229.2285156200,-0.0005232324,-0.0006085732,10.7646703720,241.0000000000
"363","73652878",45.5365970930,-122.7193496400,".",22.1993465420,-0.0010501856,0.0017830781,20.7193069460,115.0000000000
"364","73685073",47.6659263300,-122.3067141400,".",346.8362731900,-0.0006473417,-0.0007533179,6.8818955421,66.0000000000
"365","73685232",47.6655803250,-122.3066579800,".",341.8034668000,-0.0008081420,-0.0001410357,7.2689051628,66.0000000000
"366","73685339",47.6655348950,-122.3063529700,".",268.9612731900,-0.0021872364,-0.0012981131,5.3316783905,63.0000000000
"367","73692747",48.5031355190,-123.3724722500,".",97.6604156490,-0.0013011277,-0.0045841010,6.6363353729,103.0000000000
"368","73775302",45.5029340440,-122.5055471600,".",271.8061523400,-0.0001723028,0.0004578050,0.9008939862,75.0000000000
"369","73780982",47.6452550000,-122.5301750000,".",261.0535888700,0.0001549440,-0.0013388025,2.4960415363,57.0000000000
"370","73805528",45.5008972220,-122.5011500000,".",227.9889831500,0.0011926234,-0.0000896986,1.2293078899,78.0000000000
"371","73811111",47.6306116670,-122.2943116700,".",137.1188354500,0.0024892597,0.0017179109,2.5850813389,54.0000000000
"372","73816352",45.3656944440,-122.5940250000,".",213.1674499500,-0.0012356573,-0.0009529311,1.4096511602,8.0000000000
"373","73817066",45.3514638890,-122.5965111100,".",148.4853057900,-0.0005710680,0.0011200501,1.9869952202,107.0000000000
"374","73817579",45.3514611110,-122.5964361100,".",148.4853057900,-0.0005710680,0.0011200501,1.9869952202,107.0000000000
"375","73956266",47.0323111900,-123.0949514500,".",318.4716796900,0.0000322576,0.0006848149,4.5410113335,169.0000000000
"376","73956371",47.0288789400,-123.0928463700,".",110.8592376700,-0.0027341167,-0.0001042697,10.8306913380,184.0000000000
"377","73956438",47.0285847100,-123.0931197200,".",103.4870376600,-0.0021943962,-0.0014759620,14.1637229920,189.0000000000
"378","74067486",49.4231133330,-123.4895333300,".",117.8499832200,-0.0062577776,-0.0014799455,9.1124200821,146.0000000000
"379","74110440",48.4882166670,-124.2905883300,".",157.0233917200,0.0052203801,0.0083843460,7.4526915550,116.0000000000
"380","74111027",48.4882166670,-124.2906583300,".",157.0233917200,0.0052203801,0.0083843460,7.4526915550,116.0000000000
"381","74116396",44.6132207520,-121.9475018100,".",267.1218261700,-0.0002099655,-0.0011184987,7.3486204147,772.0000000000
"382","74171790",45.4761720220,-122.6842602100,".",279.7335815400,0.0010860923,0.0015194633,7.0913586617,155.0000000000
"383","74173604",47.4316350300,-121.7597746300,".",83.7696685790,0.0018679235,-0.0007164791,16.9339027400,326.0000000000
"384","74182596",48.8070331700,-123.2818018800,".",30.8605327610,0.0015112984,-0.0009111129,22.2823066710,47.0000000000
"385","74182740",47.4309829900,-121.7428918600,".",277.2705078100,0.0026514302,0.0023085265,7.9570913315,494.0000000000
"386","74182835",47.4310129300,-121.7428930500,".",277.2705078100,0.0026514302,0.0023085265,7.9570913315,494.0000000000
"387","74198582",45.7195722220,-123.9313750000,".",266.0685730000,-0.0001224292,0.0001721737,4.5984334946,28.0000000000
"388","74202666",47.5666727900,-123.3596555500,".",96.7830276490,-0.0011172547,-0.0012122408,34.2311248780,863.0000000000
"389","74202711",47.5655848800,-123.3683759000,".",170.0386352500,-0.0014403961,0.0000739260,16.4097919460,727.0000000000
"390","74203159",47.5314646500,-123.3610868100,".",214.9627227800,-0.0020721955,-0.0028228152,21.7617797850,323.0000000000
"391","74265847",48.5085820000,-123.3718500000,".",67.5663757320,0.0009784932,0.0005565740,10.8544483180,116.0000000000
"392","74266354",48.5043260000,-123.3702670000,".",25.5362606050,-0.0014319083,0.0000798903,9.3416500092,87.0000000000
"393","74266893",48.5043260000,-123.3702670000,".",25.5362606050,-0.0014319083,0.0000798903,9.3416500092,87.0000000000
"394","74274529",45.3677083330,-122.5765472200,".",185.4102325400,0.0006219430,0.0004308189,3.1288068295,48.0000000000
"395","74292996",48.3616376900,-122.5278773000,".",225.0984954800,-0.0000450399,-0.0015115072,9.8729324341,52.0000000000
"396","74297110",45.5170136370,-122.7135728000,".",135.8650512700,-0.0065571382,-0.0017581717,6.9041376114,214.0000000000
"397","74307649",45.6488055560,-122.6608333300,".",107.4991912800,-0.0021759800,0.0008687836,2.9061574936,54.0000000000
"398","74313531",45.6488055560,-122.6608333300,".",107.4991912800,-0.0021759800,0.0008687836,2.9061574936,54.0000000000
"399","74314977",45.6491694440,-122.6600527800,".",226.4433136000,0.0024034446,0.0032223642,3.6042969227,57.0000000000
"400","74333715",45.5695694440,-122.6061194400,".",95.9957199100,0.0004455867,-0.0011770461,4.1468815804,19.0000000000
"401","74336075",45.6507500000,-122.6548888900,".",127.1105804400,0.0052813389,0.0031092043,7.1006550789,47.0000000000
"402","74340220",45.6507500000,-122.6548888900,".",127.1105804400,0.0052813389,0.0031092043,7.1006550789,47.0000000000
"403","74341621",45.6570250000,-122.5866722200,".",253.7639923100,-0.0008675870,-0.0010267643,2.3074829578,70.0000000000
"404","74342017",45.6819000000,-122.5903611100,".",224.5650787400,0.0000499728,-0.0005068460,1.4439069033,73.0000000000
"405","74342450",45.6819000000,-122.5903611100,".",224.5650787400,0.0000499728,-0.0005068460,1.4439069033,73.0000000000
"406","74342956",45.6819000000,-122.5903611100,".",224.5650787400,0.0000499728,-0.0005068460,1.4439069033,73.0000000000
"407","74342998",44.3570050000,-122.2288133300,".",51.0133705140,-0.0005740271,-0.0022508875,16.8802242280,1009.0000000000
"408","74384874",47.8366620000,-122.6227270000,".",137.4408264200,0.0038671021,-0.0004297725,14.6312589650,17.0000000000
"409","74411465",48.4895968200,-123.3905461200,".",122.0323028600,-0.0005629816,-0.0000533378,0.6034278870,26.0000000000
"410","74414285",47.1239821580,-116.6092360800,".",,,,,
"411","74414352",47.1240855100,-116.6092020400,".",,,,,
"412","74437654",48.4697749720,-123.3563919700,".",132.5652160600,-0.0009580870,-0.0009734162,2.1826579571,37.0000000000
"413","74438022",48.4697990000,-123.3563850000,".",132.5652160600,-0.0009580870,-0.0009734162,2.1826579571,37.0000000000
"414","74438978",48.4450169720,-123.3782190000,".",166.6205444300,-0.0010198450,0.0000597369,4.2926306725,13.0000000000
"415","74452160",47.1241818600,-116.6094603100,".",,,,,
"416","74452280",47.1242023900,-116.6093133100,".",,,,,
"417","74452392",47.1242126300,-116.6093847200,".",,,,,
"418","74452550",47.1241509900,-116.6094528700,".",,,,,
"419","74457766",45.3354166670,-122.5735861100,".",129.9754486100,-0.0042829877,-0.0033010587,5.3198237419,106.0000000000
"420","74457795",45.3354166670,-122.5735861100,".",129.9754486100,-0.0042829877,-0.0033010587,5.3198237419,106.0000000000
"421","74457826",45.3354166670,-122.5735861100,".",129.9754486100,-0.0042829877,-0.0033010587,5.3198237419,106.0000000000
"422","74457894",45.3354166670,-122.5735861100,".",129.9754486100,-0.0042829877,-0.0033010587,5.3198237419,106.0000000000
"423","74457907",45.3353944440,-122.5737777800,".",259.2032775900,0.0004321740,-0.0011246306,4.9011025429,109.0000000000
"424","74457923",45.3353944440,-122.5737777800,".",259.2032775900,0.0004321740,-0.0011246306,4.9011025429,109.0000000000
"425","74457978",45.3353944440,-122.5737777800,".",259.2032775900,0.0004321740,-0.0011246306,4.9011025429,109.0000000000
"426","74458002",45.5792722220,-122.5738333300,".",174.2523651100,0.0008922810,-0.0015449653,3.8289604187,7.0000000000
"427","74458044",45.5792722220,-122.5738333300,".",174.2523651100,0.0008922810,-0.0015449653,3.8289604187,7.0000000000
"428","74458088",45.5792722220,-122.5738333300,".",174.2523651100,0.0008922810,-0.0015449653,3.8289604187,7.0000000000
"429","74458168",45.5792722220,-122.5738333300,".",174.2523651100,0.0008922810,-0.0015449653,3.8289604187,7.0000000000
"430","74458213",45.5792722220,-122.5738333300,".",174.2523651100,0.0008922810,-0.0015449653,3.8289604187,7.0000000000
"431","74469758",45.5273833330,-121.5210944400,".",69.0423812870,-0.0019655554,0.0047135260,16.6085433960,1005.0000000000
"432","74490570",45.5792722220,-122.5738333300,".",174.2523651100,0.0008922810,-0.0015449653,3.8289604187,7.0000000000
"433","74490884",45.5792722220,-122.5738333300,".",174.2523651100,0.0008922810,-0.0015449653,3.8289604187,7.0000000000
"434","74491137",47.1240116400,-116.6096567300,".",,,,,
"435","74491170",47.1240378900,-116.6096278600,".",,,,,
"436","74491214",47.1240182020,-116.6097852600,".",,,,,
"437","74491218",45.5792722220,-122.5738333300,".",174.2523651100,0.0008922810,-0.0015449653,3.8289604187,7.0000000000
"438","74491261",47.1240022330,-116.6097912900,".",,,,,
"439","74493312",45.5792722220,-122.5738333300,".",174.2523651100,0.0008922810,-0.0015449653,3.8289604187,7.0000000000
"440","74532123",48.6695953580,-122.9585015800,".",44.4845695500,0.0000060734,0.0020749182,20.4591999050,209.0000000000
"441","74532422",48.6703027780,-122.9675453200,".",67.8588333130,-0.0006623118,0.0014717202,13.9386739730,286.0000000000
"442","74548406",45.4727783330,-122.5028333300,".",111.8483657800,0.0000726785,0.0009650991,6.6913762093,169.0000000000
"443","74576827",47.5259083330,-122.2765750000,".",229.8291015600,-0.0004903796,0.0001805503,1.4335154295,19.0000000000
"444","74583964",47.5589850900,-123.3760608400,".",161.4015808100,-0.0084428331,-0.0045153126,23.0413398740,465.0000000000
"445","74595969",48.4291809720,-123.3501530000,".",138.5867004400,0.0018675899,0.0014262468,3.1286864281,37.0000000000
"446","74596128",48.4322980000,-123.3497260000,".",59.4241867070,-0.0004757964,-0.0015409820,1.9477550983,28.0000000000
"447","74596443",48.4114319720,-123.3573669700,".",34.2890510560,0.0019504925,0.0012446982,4.4750800133,16.0000000000
"448","74687478",47.0313033500,-122.9098238500,".",20.5699272160,-0.0037507110,0.0010687072,16.0654067990,6.0000000000
"449","74698866",47.5771000000,-122.4035800000,".",105.7225494400,0.0003666785,0.0028838851,6.9461083412,39.0000000000
"450","74699359",47.5729300000,-122.3991466700,".",41.5096549990,-0.0047702431,-0.0002652962,8.4889888763,84.0000000000
"451","74699598",47.5744666670,-122.3996666700,".",127.4310531600,-0.0006612084,-0.0009638986,8.1036739349,69.0000000000
"452","74699945",47.5754250000,-122.4012083300,".",145.0449981700,0.0008422664,-0.0012567396,7.2927513123,59.0000000000
"453","74700267",47.5720466670,-123.5634916700,".",140.3095703100,0.0024998086,0.0001208859,10.4794044490,306.0000000000
"454","74707714",48.4461299720,-123.3580079700,".",131.3167877200,-0.0013014363,-0.0000465006,5.3647847176,43.0000000000
"455","74735203",45.4971461480,-122.6717274900,".",311.7354126000,-0.0012549871,-0.0019429254,3.5310542583,12.0000000000
"456","74744777",49.3779202410,-123.3251195700,".",293.2435302700,0.0073833978,0.0052119284,11.0376396180,101.0000000000
"457","74780439",47.4636369340,-121.8466407800,".",157.9444122300,0.0004643616,-0.0007241206,10.2814226150,511.0000000000
"458","74783046",47.0105773100,-116.6773763900,".",,,,,
"459","74786490",45.4774004170,-122.4580597700,".",91.1751708980,0.0000109196,0.0010838717,2.0185604095,124.0000000000
"460","74791479",47.0102862800,-116.6764346500,".",,,,,
"461","74791553",47.0113859500,-116.6748866000,".",,,,,
"462","74791625",47.0114786500,-116.6754560300,".",,,,,
"463","74791681",47.0121526300,-116.6748219800,".",,,,,
"464","74791735",47.0132675300,-116.6732319700,".",,,,,
"465","74791794",47.0133283300,-116.6726941800,".",,,,,
"466","74791886",47.0134930000,-116.6722160000,".",,,,,
"467","74803282",45.5778783330,-122.7784200000,".",135.5158233600,0.0000634652,-0.0029319131,23.3594913480,275.0000000000
"468","74803766",45.5757916670,-122.7706616700,".",299.0222168000,-0.0004706010,0.0037730911,11.8204326630,261.0000000000
"469","74844221",49.0152460000,-122.6688719000,".",276.4265136700,-0.0003527419,-0.0010341998,1.8585693836,84.0000000000
"470","74845160",49.0298722000,-122.6927718000,".",279.2637329100,0.0008552416,0.0012623103,3.7621426582,40.0000000000
"471","74847379",49.0583118000,-122.6776531000,".",214.7657775900,0.0007366419,0.0007858101,1.8123707771,68.0000000000
"472","74847510",49.0528627000,-122.6792565000,".",178.0172424300,-0.0014712343,-0.0002597147,1.7006624937,57.0000000000
"473","74848913",49.0225226000,-122.6714961000,".",126.2557907100,0.0002472773,0.0001140371,2.5939090252,83.0000000000
"474","74895710",48.5496466670,-122.6236333300,".",208.2875671400,-0.0006293816,-0.0005019036,5.3317489624,56.0000000000
"475","74905203",46.8186416670,-116.9709383300,".",,,,,
"476","74941340",45.4798194440,-122.5152833300,".",95.3548431400,0.0004000864,0.0006693912,1.6560859680,76.0000000000
"477","74964390",49.1885396870,-121.7510744000,".",245.0138549800,-0.0025513531,-0.0007223315,4.5733337402,42.0000000000
"478","74984092",45.3273638890,-122.5697166700,".",108.0607070900,-0.0004202277,0.0004432966,2.8289117813,126.0000000000
"479","75106787",47.3546199720,-122.6024551700,".",214.4255981400,0.0014566832,-0.0005917379,2.6695792675,77.0000000000
"480","75182060",48.0887124230,-118.0031314900,".",,,,,
"481","75247959",47.3808566710,-122.2323468800,".",253.1434173600,0.0009682501,-0.0005138584,1.3476934433,13.0000000000
"482","75279361",49.3162027000,-123.0567788000,".",175.7237396200,0.0007268889,-0.0002283747,3.0453209877,109.0000000000
"483","75288018",45.3678694440,-122.5778000000,".",231.1033020000,0.0019683156,-0.0000792405,2.3175585270,46.0000000000
