field_1,ID2,lat,long,el,Aspect,Profilecurv,Tangentialc,Slope,PNWSRTMDEM
"27","53230757",49.2409174000,-122.8086868000,".",229.2820282000,0.0002231874,0.0003093331,1.4154666662,4.0000000000
"28","53539955",49.1915136000,-122.6040854000,".",202.8106231700,-0.0004787144,-0.0003314822,3.3487970829,30.0000000000
"29","53766205",48.4625312450,-123.3567977900,".",119.6797714200,-0.0006529994,-0.0015070257,9.8819770813,55.0000000000
"30","55095755",45.3880116670,-122.8368616700,".",129.7514953600,0.0014224371,-0.0007263569,3.9085440636,49.0000000000
"31","57555960",49.1847692970,-122.7737085600,".",272.7459411600,0.0027952716,-0.0008371635,2.1140103340,52.0000000000
"32","57676245",44.8503555560,-121.8456972200,".",46.3510780330,-0.0003689339,0.0007299963,7.7950263023,1256.0000000000
"33","57888423",49.3440217130,-123.0047542800,".",276.7221069300,0.0019868666,0.0035962162,7.0022149086,138.0000000000
"34","58576022",49.7756764300,-123.1109970700,".",55.3508720400,-0.0034140835,0.0001107799,12.8247461320,320.0000000000
"35","58862868",49.3902320970,-123.3506584700,".",90.0462112430,-0.0002521807,0.0017961548,4.4594006538,59.0000000000
"36","60516594",49.3768795720,-123.3314129200,".",126.8659668000,0.0053462172,0.0040208395,19.7996940610,71.0000000000
"37","61398540",47.6614026160,-122.2832441000,".",191.8218231200,0.0009503531,0.0014135364,9.2576246262,25.0000000000
"38","61399467",48.1705133580,-122.1901978900,".",268.0848388700,-0.0003911881,-0.0012137622,1.9929536581,35.0000000000
"39","61400313",47.6751263320,-122.2610672200,".",14.7986164090,0.0008666234,0.0003884426,8.5689344406,31.0000000000
"40","61401102",47.6761844240,-122.2620814300,".",51.8830947880,-0.0003934043,0.0010342024,3.7540144920,28.0000000000
"41","61401305",47.6761706530,-122.2624613000,".",138.9134521500,-0.0004936286,0.0014436449,4.2222671509,28.0000000000
"42","61401534",48.4179449560,-122.5708103900,".",259.0667114300,-0.0007385930,0.0003109645,2.3175632954,10.0000000000
"43","61423931",47.6654002950,-122.2830562700,".",143.5949859600,-0.0020234678,-0.0000516152,2.8208482265,31.0000000000
"44","61537163",49.5516249570,-123.2381864900,".",0.0000001546,-0.0000000000,0.0000000000,0.0000000046,0.0000000000
"45","61624246",47.7494723570,-122.2079986700,".",138.3173522900,-0.0040723998,-0.0006151048,20.2738037110,30.0000000000
"46","61624408",47.7500823720,-122.2083493500,".",225.1464080800,-0.0025099244,-0.0016481257,6.1759839058,23.0000000000
"47","61624619",47.7509316130,-122.2077266800,".",193.4402160600,0.0013071200,0.0010674840,6.6377177238,34.0000000000
