"","ID2","lat","long","el"
"46",61624408,47.75008237,-122.2083493,"."
"47",61624619,47.75093161,-122.2077267,"."
"48",61923541,49.64536081,-123.2046452,"."
"49",62133383,47.19430958,-121.9153992,"."
"50",62139519,47.18873964,-122.3279077,"."
"51",62243128,48.46053926,-122.603416,"."
"52",62250074,48.46310521,-122.6036728,"."
"53",62264694,48.47354739,-122.6052083,"."
"54",63186072,47.54994518,-122.2555292,"."
"55",63253840,47.48736868,-121.7194069,"."
"56",63255638,47.48747408,-121.719034,"."
"57",63298788,47.30351667,-122.516525,"."
"58",63298939,47.49236667,-122.0639028,"."
"59",63522352,48.77449167,-122.4804533,"."
"60",63842953,46.91261491,-122.9289946,"."
"61",63843211,46.9305018,-122.9364521,"."
"62",64575034,48.73001167,-122.3038167,"."
"63",64707952,49.32410049,-122.9444733,"."
"64",65241620,46.72510937,-117.0099777,"."
"65",65344987,47.07516281,-122.9717604,"."
"66",65345686,47.07340397,-122.974052,"."
"67",65346596,47.073191,-122.973572,"."
"68",65827522,47.24783333,-122.4809583,"."
"69",65827983,47.24966333,-122.48195,"."
"70",65828255,47.667575,-122.2856667,"."
"71",65988466,47.869898,-117.15701,"."
"72",66016390,49.21389771,-122.9076462,"."
"73",66054060,47.7240478,-122.2447948,"."
"74",66054151,47.72321235,-122.2444968,"."
"75",66062190,47.7237474,-122.2460907,"."
"76",66197132,47.54998579,-122.2554108,"."
"77",66312732,47.337491,-122.78079,"."
"78",66362924,48.75612841,-122.4399149,"."
"79",66390991,47.58537,-121.7307021,"."
"80",66585862,47.302145,-122.5243133,"."
"81",66835176,47.77258054,-123.4725165,"."
"82",66837428,48.02794065,-122.7745359,"."
"83",66966170,47.35965333,-122.5930783,"."
"84",66966372,47.35971167,-122.5921633,"."
"85",67182029,47.70230013,-122.3092649,"."
"86",67207257,46.72489167,-117.0131222,"."
"87",67542612,47.62524667,-122.2997967,"."
"88",67542762,47.635475,-122.3067633,"."
"89",67548524,47.62564667,-122.32447,"."
"90",67558333,47.63079167,-122.3163217,"."
"91",67590491,47.46589329,-122.4595997,"."
"92",67689415,47.55196333,-122.2535333,"."
"93",67725403,48.016067,-122.6740914,"."
"94",67737614,47.55269167,-122.2513967,"."
"95",67810237,49.14007217,-123.9437333,"."
"96",67839053,47.53051167,-121.9771117,"."
"97",67931089,45.48702939,-122.5720033,"."
"98",68079062,47.46661695,-122.4585582,"."
"99",68228219,47.54876553,-122.2830996,"."
"100",68245512,45.79963056,-122.6816667,"."
"101",68245540,45.79963056,-122.6816667,"."
"102",68262877,48.52309667,-123.3922417,"."
"103",68280669,47.494947,-122.069072,"."
"104",68283750,47.37774577,-121.9825186,"."
"105",68284552,47.37643287,-121.980487,"."
"106",68317487,46.75210833,-121.8123222,"."
"107",68317528,46.74988611,-121.8134278,"."
"108",68378273,47.24522646,-122.4858716,"."
"109",68382043,49.30518341,-123.0087814,"."
"110",68382155,49.30542755,-123.0087967,"."
"111",68431464,47.61760833,-122.3131867,"."
"112",68431725,47.46565,-120.324845,"."
"113",68439913,49.40448,-123.559975,"."
"114",68441859,49.40567833,-123.5576383,"."
"115",68471695,49.34246063,-123.1357727,"."
"116",68476388,49.38953,-123.5527033,"."
"117",68499123,47.37513916,-122.0621321,"."
"118",68500224,47.37402186,-122.0635355,"."
"119",68502979,47.37528402,-122.0663682,"."
"120",68516263,49.11918333,-123.987695,"."
"121",68522616,49.32991791,-122.9988174,"."
"122",68522813,49.33097839,-122.9989929,"."
"123",68523103,49.31423187,-122.9924469,"."
"124",68570665,49.13985,-123.9508833,"."
"125",68571073,49.14348333,-123.9441967,"."
"126",68579641,49.31676865,-122.9893341,"."
"127",68579840,49.31517029,-122.9834061,"."
"128",68579958,49.33611679,-123.1038208,"."
"129",68580031,NA,NA,"."
"130",68580064,49.33485031,-123.1087952,"."
"131",68580097,NA,NA,"."
"132",68580149,49.33544922,-123.1105957,"."
"133",68580268,49.33478546,-123.1087723,"."
"134",68615753,48.78845078,-123.2592627,"."
"135",68615871,48.78860374,-123.2590265,"."
"136",68622048,49.31676483,-122.9522476,"."
"137",68622120,49.3166275,-122.9518204,"."
"138",68628574,48.78857688,-123.2587738,"."
"139",68628652,48.78858687,-123.2584036,"."
"140",68629089,48.78602822,-123.2556199,"."
"141",68646417,48.46525333,-123.3159117,"."
"142",68658537,49.29083333,-123.0491667,"."
"143",68658762,49.29208755,-123.0506973,"."
"144",68658879,49.29182053,-123.0500946,"."
"145",68699666,49.31589127,-123.0074921,"."
"146",68699838,49.31990433,-123.0372772,"."
"147",68699970,49.31822934,-123.0107101,"."
"148",68700424,49.31666667,-123.0105556,"."
"149",68710615,48.74760947,-123.1836158,"."
"150",68710668,48.74747218,-123.1834763,"."
"151",68729584,47.3788804,-121.9730033,"."
"152",68730344,47.450698,-122.073259,"."
"153",68737226,47.4225318,-122.0737244,"."
"154",68742200,49.31347275,-122.9989166,"."
"155",68742288,49.33297348,-123.0438461,"."
"156",68742508,49.33329391,-123.0440216,"."
"157",68745750,47.63636667,-122.3068617,"."
