,ID2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH,CMI,DD1040
"92",67689415,47.5519633333,-122.2535333333,-9999,11.2,18.2,4.5,13.8,925,171,22.9,106.7,68,2428,2616,140,319,77,324,247,19,-14.3,36.1,11.4,752,365,71,28.7,1130
"93",67725403,48.0160669965,-122.6740913852,-9999,10,16.2,4,12.3,570,155,35.1,104.7,80,2033,2966,60,307,89,313,224,13,-15.9,34.3,-9999,687,339,72,1.6,829
"94",67737614,47.5526916667,-122.2513966667,-9999,11.2,18.2,4.5,13.8,925,171,22.9,106.6,68,2431,2613,141,319,77,324,247,19,-14.3,36.1,11.4,752,365,71,28.69,1132
"95",67810237,49.1400721667,-123.9437333333,-9999,9.3,17.2,2.4,14.8,1115,195,17.3,88.4,126,1939,3235,82,290,101,306,206,58,-17.7,34.9,11.6,649,273,74,60.51,860
"96",67839053,47.5305116731,-121.9771116667,-9999,9.5,16.9,2.3,14.6,1755,392,11.1,43.1,119,1967,3178,73,286,112,306,194,78,-18.5,35.4,11.7,735,162,70,115.6,853
"97",67931089,45.4870293878,-122.572003305,-9999,11.5,19.2,4,15.2,1174,214,18.4,89.6,72,2567,2547,188,312,88,319,230,26,-15.7,38.6,12.7,871,396,66,41.5,1252
"98",68079062,47.4666169515,-122.4585582124,-9999,10.8,17.8,4,13.8,1220,205,17,87.1,77,2296,2757,115,311,88,319,231,30,-15.3,36,9.8,753,326,70,58.96,1045
"99",68228219,47.5487655278,-122.2830995545,-9999,11.1,18.1,4.4,13.7,918,169,23,107.2,70,2386,2657,129,318,79,323,244,20,-14.6,35.9,11.5,746,363,71,28.81,1100
"100",68245512,45.7996305556,-122.6816666667,-9999,11,18.5,3.5,15,1195,227,17.6,81.6,81,2407,2695,146,301,100,312,212,31,-16.8,38.2,12.3,860,374,65,45.6,1140
"101",68245540,45.7996305556,-122.6816666667,-9999,11,18.5,3.5,15,1195,227,17.6,81.6,81,2407,2695,146,301,100,312,212,31,-16.8,38.2,12.3,860,374,65,45.6,1140
"102",68262877,48.5230966667,-123.3922416667,-9999,9.9,16.6,3.9,12.7,910,144,21.9,115.4,88,2017,3020,68,310,85,315,230,29,-14.8,34.5,11.5,666,344,74,37.46,848
"103",68280669,47.494947,-122.069072,-9999,10,17.3,2.9,14.4,1388,306,14.4,56.6,102,2102,3010,90,295,105,310,205,49,-17.5,35.8,11.9,751,230,69,76.41,936
"104",68283750,47.37774577,-121.98251864,-9999,10,17.3,3,14.3,1430,318,14,54.3,100,2090,3011,88,291,108,307,198,49,-17.8,36,11.5,768,228,68,79.14,925
