OID_,Field1,ID2,lat,long,el,RASTERVALU
566,1353,105791998,47.230044999999997,-122.425788333300005,.,9.3747683
567,1504,108967112,47.234840581000000,-122.423208672200005,.,7.8465281
568,1508,109503761,47.321086615799999,-122.294713091399998,.,8.7088490
569,507,75560764,47.313276313300001,-122.186429379700002,.,8.3140097
570,509,75566490,47.312058513099998,-122.176263732899997,.,9.6945696
571,712,80256420,47.309090603700000,-122.180291459599999,.,7.2218895
572,924,89262685,47.194700269999998,-122.157800660000007,.,9.3447266
573,999,92121276,47.169466666700004,-122.165986166699994,.,9.2995405
574,287,71345061,47.270111666699997,-121.939286666699999,.,10.3492556
575,290,71347153,47.316413333299998,-121.907966666700005,.,8.9046364
576,913,88744515,47.152441666700000,-121.681794999999994,.,6.7675247
577,619,78538515,47.134753680000003,-116.631541690000006,.,
578,904,87949492,47.462636666700000,-123.857820000000004,.,7.5091500
579,1031,93086790,47.392383333300003,-123.603845000000007,.,8.9093943
580,1030,93086413,47.418005000000001,-123.565505000000002,.,7.7475934
581,581,76998196,47.363853333300000,-123.164580500000000,.,7.9865880
582,582,77000399,47.360263333299997,-123.156761166699994,.,8.5279245
583,583,77001270,47.362408333300003,-123.164077833299999,.,9.6436548
584,584,77001984,47.363455000000002,-123.160058333300000,.,9.8158150
585,585,77003271,47.363453333300001,-123.162094499999995,.,10.8309593
586,351,73076517,47.374931099999998,-122.959052260000007,.,7.0321107
587,562,76690954,47.377863333299999,-122.975533333300007,.,7.3550091
588,77,66312732,47.337491000000000,-122.780789999999996,.,6.2500892
589,83,66966170,47.359653330000000,-122.593078329999997,.,8.8167048
590,84,66966372,47.359711670000003,-122.592163330000005,.,9.1765575
591,91,67590491,47.465893293299999,-122.459599659600002,.,7.9279995
592,98,68079062,47.466616951500001,-122.458558212400007,.,9.6614494
593,213,70014534,47.489534366400001,-122.473370432899998,.,6.9127698
594,214,70014877,47.489842705999997,-122.472712285800000,.,6.6262732
595,215,70015042,47.489472743500002,-122.471136823300000,.,6.5363731
596,216,70015240,47.489217390000000,-122.470829159999994,.,6.9580760
597,217,70015410,47.489152847299998,-122.470806241000005,.,7.2240143
598,485,75106787,47.354619971799998,-122.602455168899994,.,10.1225090
599,569,76734896,47.501429999999999,-122.459145000000007,.,9.1942844
600,187,69236663,47.370091666699999,-122.320305000000005,.,9.6384459
601,613,78489829,47.381430580299998,-122.319210805099999,.,8.3608685
602,623,78600923,47.381587196200002,-122.318850634699999,.,9.4502058
603,625,78604035,47.381518841800002,-122.318765726099997,.,8.2351608
604,626,78604361,47.381524206199998,-122.318721050500002,.,8.1898851
605,631,78625146,47.381989611400002,-122.321606772099997,.,10.3359661
606,632,78625631,47.381773774300001,-122.321449279299998,.,8.6803684
607,633,78626609,47.381959436499997,-122.321261102400001,.,8.8666630
608,634,78626989,47.382038393999999,-122.321266550700003,.,9.3238297
609,635,78627216,47.381975320199999,-122.321347855100001,.,9.8190746
610,636,78627334,47.381935380400002,-122.321351794600005,.,9.3710327
611,637,78627406,47.381949797300003,-122.321496298699998,.,9.8138428
612,638,78627829,47.381816441200002,-122.321336371900003,.,8.6281233
613,639,78627899,47.381871007400001,-122.321363780799999,.,8.9107790
614,640,78628293,47.381870253099997,-122.321416921999997,.,9.0613871
615,641,78628463,47.381868199499998,-122.321348609500006,.,8.8515816
616,642,78629139,47.381864469500002,-122.321347352199993,.,8.8343878
617,643,78629438,47.381819333000003,-122.321343915699998,.,8.6673946
618,644,78629611,47.381826667200002,-122.321338802699998,.,8.6729383
619,645,78629848,47.381849256400002,-122.321362104399995,.,8.8337831
620,646,78632126,47.381845694100001,-122.321292953699995,.,8.5684738
621,647,78632275,47.381908139300002,-122.321278536799994,.,8.7581997
622,648,78632335,47.381900763200001,-122.321253642599999,.,8.6311789
623,649,78632829,47.381924651600002,-122.321754377399998,.,9.4628658
624,650,78632926,47.381904367399997,-122.321708193199996,.,9.6689043
625,651,78633395,47.381908055399997,-122.321786480100002,.,8.4678698
626,652,78633614,47.381923687700002,-122.321797963300000,.,8.7882042
627,653,78633693,47.381882281099998,-122.321927463700007,.,8.7797098
628,654,78634103,47.381891878399998,-122.321954956400006,.,8.7200966
629,899,87625497,47.372446666700000,-122.255203333300003,.,7.9809103
630,1007,92491792,47.431891666699997,-122.255303333300006,.,10.4213419
631,1008,92494481,47.431750000000001,-122.255638333299999,.,11.6665859
632,1009,92494642,47.431654999999999,-122.255883333300005,.,12.5690804
633,1013,92695744,47.382436666700002,-122.317421666700000,.,9.8194799
634,1049,93944771,47.380004999999997,-122.317191666699998,.,10.1200953
635,1269,100844967,47.381774999999998,-122.317221666699993,.,10.8937206
636,1270,100845021,47.381846666700000,-122.317229999999995,.,11.4677668
637,58,63298939,47.492366670000003,-122.063902830000004,.,9.0065861
638,103,68280669,47.494947000000003,-122.069072000000006,.,7.7136273
639,118,68499123,47.375139160000003,-122.062132079999998,.,5.8624043
640,119,68500224,47.374021859999999,-122.063535450000003,.,9.2607908
641,120,68502979,47.375284020000002,-122.066368170000004,.,7.6450768
642,153,68730344,47.450698000000003,-122.073258999999993,.,11.1757536
643,154,68737226,47.422531800000002,-122.073724400000003,.,10.9040565
644,219,70046682,47.377664520000003,-122.058533670000003,.,10.8506365
645,258,70523478,47.466102694400000,-122.144622583300006,.,8.3097458
646,487,75247959,47.380856671399997,-122.232346879399998,.,12.6208754
647,506,75518626,47.465790472199998,-122.132976694400000,.,10.8444242
648,905,88061558,47.477428333299997,-122.097869500000002,.,10.5148468
649,1076,94753365,47.480207746900000,-122.079026531500006,.,9.9397640
650,1209,98252186,47.475096666699997,-122.176405000000003,.,11.5202036
651,1348,105380048,47.457388520000002,-122.161432410000003,.,7.9968081
652,1367,106897907,47.436035998900003,-122.186411954500002,.,9.5149870
653,1368,106897926,47.440528192999999,-122.192734591700003,.,10.7420645
654,1369,106897952,47.434967603600001,-122.204920537800007,.,8.9539032
655,1382,107224666,47.504174440000000,-122.148262079999995,.,8.2935143
656,1384,107225052,47.504166869999999,-122.146473049999997,.,8.7195473
657,1389,107439069,47.472958333299999,-122.223275000000001,.,10.8720388
658,1393,107502297,47.445122089999998,-122.191215439999993,.,9.2807636
659,1403,107509358,47.508081359999998,-122.196244910000004,.,8.6084967
660,1404,107509505,47.502579879999999,-122.176618430000005,.,11.0216494
661,1405,107509716,47.502577140000000,-122.176579739999994,.,10.9378033
662,1406,107509934,47.503857840000002,-122.177156929999995,.,12.7607946
663,1407,107510152,47.503788999999998,-122.177255000000002,.,9.8284931
664,1409,107514370,47.490633920000001,-122.223015270000005,.,8.9640169
665,1410,107515026,47.487392250699997,-122.218798957800004,.,8.0401468
666,1411,107516067,47.483227679999999,-122.220536260000003,.,6.8230309
667,1412,107516534,47.483707899999999,-122.220816999999997,.,9.9038877
668,1419,107836045,47.483275169999999,-122.221060269999995,.,8.0686407
669,1420,107836241,47.427766599999998,-122.199706399999997,.,9.2979355
670,1421,107836448,47.427696599999997,-122.199956000000000,.,8.9872093
671,1422,107838410,47.454078600000003,-122.211691999999999,.,9.7299500
672,1423,107838787,47.452531600000000,-122.212594100000004,.,6.7754755
673,1424,107850812,47.447863190000000,-122.196834350000003,.,9.0042744
